,Unnamed: 0,r1,r2,r3,v
89844,89844,1.81,5.71,3.90021,0.02048
485768,485768,7.41,0.91,6.50024,0.08589
710003,710003,10.51,1.91,8.6014,0.02842
465620,465620,7.11,2.51,4.60099,0.08119
168166,168166,2.91,5.71,2.80055,0.0906
455842,455842,6.91,9.21,2.30703,0.06381
31124,31124,1.01,3.51,2.50011,0.06221
69678,69678,1.51,7.11,5.60253,0.00183
337913,337913,5.31,3.11,2.2089,0.05405
77450,77450,1.61,8.01,6.40025,0.00633
287044,287044,4.61,1.91,2.70026,0.02903
230917,230917,3.81,2.91,0.90549,0.09701
462483,462483,7.01,8.61,1.60352,0.006
658833,658833,9.81,1.91,7.90146,0.02841
563376,563376,8.41,9.51,1.10577,0.02334
195944,195944,3.31,4.81,1.50283,0.00417
158633,158633,2.81,1.51,1.30387,0.04625
569502,569502,8.51,7.11,1.42881,8e-05
106821,106821,2.01,9.11,7.1006,0.03714
24297,24297,0.91,3.91,3.00097,0.09353
83383,83383,1.71,6.51,4.80059,0.01264
322452,322452,5.11,1.61,3.50167,0.00779
469958,469958,7.11,9.01,1.90779,0.0282
601211,601211,9.01,1.91,7.1008,0.02839
58056,58056,1.31,10.41,9.10119,0.00171
532952,532952,8.01,6.21,1.8155,0.02051
388047,388047,6.01,3.51,2.5052,0.07983
340423,340423,5.31,7.41,2.10477,0.04558
458676,458676,7.01,2.71,4.3036,0.09692
364793,364793,5.71,1.11,4.60164,0.02287
38827,38827,1.11,4.21,3.10046,0.0285
336869,336869,5.31,1.81,3.50299,0.021
470328,470328,7.11,9.41,2.33285,0.0661
700016,700016,10.31,8.11,2.20441,0.05466
323911,323911,5.11,3.41,1.71162,0.01414
27752,27752,0.91,8.21,7.30119,0.08591
393694,393694,6.11,1.71,4.40038,0.01276
489360,489360,7.41,5.41,2.00301,0.03645
147144,147144,2.61,6.11,3.50121,0.08789
229803,229803,3.81,1.51,2.30136,0.01126
410251,410251,6.31,4.61,1.70212,0.01215
556576,556576,8.31,9.91,1.63626,0.00788
70564,70564,1.51,8.31,6.80015,0.00187
102870,102870,2.01,4.11,2.10437,0.02608
166654,166654,2.91,3.81,0.90196,0.09878
52749,52749,1.31,3.81,2.50066,0.01274
138229,138229,2.51,3.81,1.30798,0.01279
352076,352076,5.51,3.01,2.50838,0.07604
127909,127909,2.31,8.71,6.40342,0.06406
325840,325840,5.11,7.01,1.90104,0.02757
66794,66794,1.51,3.51,2.00321,0.01436
