,r1,r2,v
648,1.21,4.81,0.00867
649,1.21,4.91,0.00862
650,1.21,5.01,0.00858
651,1.21,5.11,0.00855
652,1.21,5.21,0.00852
653,1.21,5.31,0.0085
654,1.21,5.41,0.00848
655,1.21,5.51,0.00846
656,1.21,5.61,0.00845
657,1.21,5.71,0.00845
658,1.21,5.81,0.00844
659,1.21,5.91,0.00844
660,1.21,6.01,0.00844
661,1.21,6.11,0.00845
662,1.21,6.21,0.00845
663,1.21,6.31,0.00845
664,1.21,6.41,0.00846
665,1.21,6.51,0.00846
666,1.21,6.61,0.00847
667,1.21,6.71,0.00847
668,1.21,6.81,0.00847
669,1.21,6.91,0.00848
670,1.21,7.01,0.00848
671,1.21,7.11,0.00849
672,1.21,7.21,0.00849
673,1.21,7.31,0.00849
674,1.21,7.41,0.0085
675,1.21,7.51,0.0085
676,1.21,7.61,0.0085
677,1.21,7.71,0.0085
678,1.21,7.81,0.00851
679,1.21,7.91,0.00851
680,1.21,8.01,0.00851
681,1.21,8.11,0.00851
682,1.21,8.21,0.00851
683,1.21,8.31,0.00852
684,1.21,8.41,0.00852
685,1.21,8.51,0.00852
686,1.21,8.61,0.00852
687,1.21,8.71,0.00852
688,1.21,8.81,0.00852
689,1.21,8.91,0.00852
690,1.21,9.01,0.00852
691,1.21,9.11,0.00853
692,1.21,9.21,0.00853
693,1.21,9.31,0.00853
694,1.21,9.41,0.00853
695,1.21,9.51,0.00853
696,1.21,9.61,0.00853
697,1.21,9.71,0.00853
698,1.21,9.81,0.00853
699,1.21,9.91,0.00853
700,1.21,10.01,0.00853
701,1.21,10.11,0.00853
702,1.21,10.21,0.00853
703,1.21,10.31,0.00853
704,1.21,10.41,0.00853
705,1.21,10.51,0.00853
707,1.31,0.61,0.51416
708,1.31,0.71,0.36115
709,1.31,0.81,0.25975
710,1.31,0.91,0.19054
711,1.31,1.01,0.14245
712,1.31,1.11,0.10865
713,1.31,1.21,0.08457
714,1.31,1.31,0.06726
715,1.31,1.41,0.05466
716,1.31,1.51,0.04535
717,1.31,1.61,0.03833
718,1.31,1.71,0.0329
719,1.31,1.81,0.0286
720,1.31,1.91,0.02511
721,1.31,2.01,0.0222
722,1.31,2.11,0.01973
723,1.31,2.21,0.01759
724,1.31,2.31,0.01573
725,1.31,2.41,0.01408
726,1.31,2.51,0.01261
727,1.31,2.61,0.01129
728,1.31,2.71,0.0101
729,1.31,2.81,0.00902
730,1.31,2.91,0.00805
731,1.31,3.01,0.00717
732,1.31,3.11,0.00637
733,1.31,3.21,0.00566
734,1.31,3.31,0.00504
735,1.31,3.41,0.00449
736,1.31,3.51,0.00401
737,1.31,3.61,0.0036
738,1.31,3.71,0.00326
739,1.31,3.81,0.00297
740,1.31,3.91,0.00274
741,1.31,4.01,0.00254
742,1.31,4.11,0.00238
743,1.31,4.21,0.00225
744,1.31,4.31,0.00214
745,1.31,4.41,0.00205
746,1.31,4.51,0.00198
747,1.31,4.61,0.00192
748,1.31,4.71,0.00186
749,1.31,4.81,0.00181
750,1.31,4.91,0.00177
751,1.31,5.01,0.00174
752,1.31,5.11,0.00171
753,1.31,5.21,0.00168
754,1.31,5.31,0.00166
755,1.31,5.41,0.00165
756,1.31,5.51,0.00164
757,1.31,5.61,0.00163
758,1.31,5.71,0.00163
759,1.31,5.81,0.00162
760,1.31,5.91,0.00162
761,1.31,6.01,0.00163
762,1.31,6.11,0.00163
763,1.31,6.21,0.00163
764,1.31,6.31,0.00164
765,1.31,6.41,0.00164
766,1.31,6.51,0.00164
767,1.31,6.61,0.00165
768,1.31,6.71,0.00165
769,1.31,6.81,0.00166
770,1.31,6.91,0.00166
771,1.31,7.01,0.00167
772,1.31,7.11,0.00167
773,1.31,7.21,0.00167
774,1.31,7.31,0.00168
775,1.31,7.41,0.00168
776,1.31,7.51,0.00168
777,1.31,7.61,0.00168
778,1.31,7.71,0.00169
779,1.31,7.81,0.00169
780,1.31,7.91,0.00169
781,1.31,8.01,0.00169
782,1.31,8.11,0.0017
783,1.31,8.21,0.0017
784,1.31,8.31,0.0017
785,1.31,8.41,0.0017
786,1.31,8.51,0.0017
787,1.31,8.61,0.0017
788,1.31,8.71,0.0017
789,1.31,8.81,0.00171
790,1.31,8.91,0.00171
791,1.31,9.01,0.00171
792,1.31,9.11,0.00171
793,1.31,9.21,0.00171
794,1.31,9.31,0.00171
795,1.31,9.41,0.00171
796,1.31,9.51,0.00171
797,1.31,9.61,0.00171
798,1.31,9.71,0.00171
799,1.31,9.81,0.00171
800,1.31,9.91,0.00171
801,1.31,10.01,0.00171
802,1.31,10.11,0.00172
803,1.31,10.21,0.00172
804,1.31,10.31,0.00172
805,1.31,10.41,0.00172
806,1.31,10.51,0.00172
808,1.41,0.61,0.49445
809,1.41,0.71,0.34227
